================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      55.155ms         0.08%      55.155ms       3.536us           0 b           0 b           0 b           0 b         15596            --  
                                           aten::normal         0.04%      47.017ms         0.18%     219.434ms      14.139us       0.000us         0.00%      52.618ms       3.390us           0 b           0 b      24.71 Gb           0 b         15520            --  
                                              aten::cat         0.14%     162.026ms         0.17%     205.212ms      16.174us      35.456ms         0.05%      52.337ms       4.125us           0 b           0 b       3.39 Gb       3.39 Gb         12688            --  
                                              aten::mul         0.55%     657.579ms         0.85%        1.018s      31.736us      49.632ms         0.07%      51.150ms       1.594us     -42.33 Kb     -40.39 Kb      43.30 Gb      43.30 Gb         32089        23.675  
                                        cudaEventRecord         0.05%      64.141ms         0.05%      64.141ms       1.186us      50.303ms         0.08%      50.303ms       0.930us           0 b           0 b           0 b           0 b         54082            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      49.623ms         0.07%      49.623ms       1.827us           0 b           0 b           0 b           0 b         27160            --  
                                        zo_perturb_+eps         0.07%      86.824ms         0.20%     245.332ms      24.533ms       0.000us         0.00%      37.595ms       3.760ms           0 b      11.34 Kb       1.50 Mb     -23.71 Gb            10            --  
                                       zo_perturb_-2eps         0.08%      90.088ms         0.21%     247.730ms      24.773ms       0.000us         0.00%      37.137ms       3.714ms           0 b      11.62 Kb       2.09 Mb     -23.92 Gb            10            --  
                                  zo_perturb_+eps_reset         0.07%      82.022ms         0.20%     233.781ms      23.378ms       0.000us         0.00%      36.327ms       3.633ms           0 b      11.89 Kb      -1.51 Mb     -23.62 Gb            10            --  
                                               aten::mm         0.67%     804.704ms         1.90%        2.280s     207.839us      33.358ms         0.05%      34.316ms       3.128us           0 b           0 b     806.88 Mb     806.88 Mb         10969      3876.635  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.497ms         0.05%      31.497ms       2.028us           0 b           0 b           0 b           0 b         15530            --  
                                    zo_parameter_update         0.00%       1.733ms         0.16%     192.910ms      19.291ms       0.000us         0.00%      28.844ms       2.884ms           0 b           0 b      -2.60 Mb     -20.00 Kb            10            --  
                                              zo_update         0.05%      64.178ms         0.16%     191.177ms      19.118ms       0.000us         0.00%      28.844ms       2.884ms           0 b       4.79 Kb      -2.58 Mb     -18.10 Gb            10            --  
                                  Torch-Compiled Region         0.07%      78.017ms         0.15%     177.323ms       8.866ms       0.000us         0.00%      27.353ms       1.368ms           0 b           0 b     304.92 Mb     304.92 Mb            20            --  
                                        aten::new_zeros         0.06%      77.208ms         0.33%     398.441ms      31.403us       0.000us         0.00%      27.340ms       2.155us           0 b           0 b     283.99 Mb     -13.90 Mb         12688            --  
                                              aten::add         1.09%        1.300s         1.56%        1.867s      87.631us      23.572ms         0.04%      24.370ms       1.144us      -7.66 Kb      -1.08 Kb      18.55 Gb      18.55 Gb         21306        10.815  
                                        training_step_2         0.00%     464.000us        10.51%       12.583s       12.583s       0.000us         0.00%      20.118ms      20.118ms           0 b           0 b     312.00 Kb           0 b             1            --  
                                        training_step_5         0.00%     498.000us        10.76%       12.877s       12.877s       0.000us         0.00%      18.833ms      18.833ms           0 b           0 b       6.99 Mb           0 b             1            --  
                                        training_step_6         0.00%     505.000us        10.43%       12.485s       12.485s       0.000us         0.00%      18.593ms      18.593ms           0 b           0 b       1.38 Mb           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 119.687s
Self CUDA time total: 66.555s


--- Memory Usage ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         0.55%     657.579ms         0.85%        1.018s      31.736us      49.632ms         0.07%      51.150ms       1.594us     -42.33 Kb     -40.39 Kb      43.30 Gb      43.30 Gb         32089        23.675  
                                            aten::empty         0.25%     301.971ms         0.25%     304.912ms       5.053us       0.000us         0.00%       0.000us       0.000us     275.46 Kb     275.46 Kb      33.16 Gb      33.16 Gb         60345            --  
                                              aten::add         1.09%        1.300s         1.56%        1.867s      87.631us      23.572ms         0.04%      24.370ms       1.144us      -7.66 Kb      -1.08 Kb      18.55 Gb      18.55 Gb         21306        10.815  
                                              aten::sub         0.23%     278.266ms         0.39%     466.295ms      72.283us       7.958ms         0.01%       7.975ms       1.236us        -568 b        -604 b       6.18 Gb       6.18 Gb          6451            --  
                                            aten::addmm         1.77%        2.124s         5.63%        6.737s     365.892us      98.939ms         0.15%     132.627ms       7.203us           0 b         120 b       4.15 Gb       4.15 Gb         18413      9972.906  
                                              aten::cat         0.14%     162.026ms         0.17%     205.212ms      16.174us      35.456ms         0.05%      52.337ms       4.125us           0 b           0 b       3.39 Gb       3.39 Gb         12688            --  
                                              aten::bmm         0.71%     849.504ms         1.53%        1.831s      97.586us      42.446ms         0.06%      72.190ms       3.848us           0 b           0 b       2.68 Gb       2.68 Gb         18758       161.515  
                                               aten::mm         0.67%     804.704ms         1.90%        2.280s     207.839us      33.358ms         0.05%      34.316ms       3.128us           0 b           0 b     806.88 Mb     806.88 Mb         10969      3876.635  
                                  Torch-Compiled Region         0.07%      78.017ms         0.15%     177.323ms       8.866ms       0.000us         0.00%      27.353ms       1.368ms           0 b           0 b     304.92 Mb     304.92 Mb            20            --  
                                     aten::_log_softmax         0.00%     234.000us         0.00%     371.000us      18.550us     236.000us         0.00%     237.000us      11.850us           0 b           0 b     188.43 Mb     188.43 Mb            20            --  
                                    aten::empty_strided         1.30%        1.551s         1.34%        1.602s       7.311us       0.000us         0.00%       0.000us       0.000us      40.67 Mb      40.67 Mb      45.21 Mb      45.21 Mb        219186            --  
                                      aten::log_softmax         0.00%     140.000us         0.00%     482.000us      24.100us       0.000us         0.00%     214.000us      10.700us           0 b           0 b     188.43 Mb      21.92 Mb            20            --  
                                       aten::empty_like         0.03%      35.292ms         0.07%      82.400ms       6.525us       0.000us         0.00%       0.000us       0.000us     148.56 Kb      38.46 Kb     547.64 Mb      15.33 Mb         12628            --  
                                       aten::contiguous         0.26%     307.040ms         0.73%     874.082ms     205.521us       0.000us         0.00%       4.855ms       1.142us           0 b           0 b     502.87 Mb      14.69 Mb          4253            --  
                                        aten::new_empty         0.05%      60.768ms         0.14%     169.111ms      12.988us       0.000us         0.00%       0.000us       0.000us          31 b          10 b     283.99 Mb      13.90 Mb         13021            --  
                                               aten::eq         0.01%      10.872ms         0.01%      16.361ms      21.584us     862.000us         0.00%       1.423ms       1.877us           0 b           0 b     595.00 Kb     595.00 Kb           758            --  
                                              aten::all         0.01%       9.908ms         0.02%      21.109ms      27.414us     618.000us         0.00%       1.612ms       2.094us          -4 b          -4 b     369.00 Kb     369.00 Kb           770            --  
                                          aten::resize_         0.00%     709.000us         0.00%     709.000us       8.057us       0.000us         0.00%       0.000us       0.000us     184.00 Kb     184.00 Kb     139.00 Kb     139.00 Kb            88            --  
                                 aten::nll_loss_forward         0.00%     285.000us         0.00%     400.000us      20.000us      46.000us         0.00%      46.000us       2.300us           0 b           0 b      20.00 Kb      20.00 Kb            20            --  
                                           aten::cumsum         0.01%       8.359ms         0.02%      20.552ms     326.222us      17.000us         0.00%      26.000us       0.413us           0 b           0 b       9.00 Kb       9.00 Kb            63            --  
                                               aten::lt         0.01%      11.785ms         0.02%      27.734ms     440.222us      17.000us         0.00%      17.000us       0.270us           0 b           0 b       8.50 Kb       8.50 Kb            63            --  
                                               aten::to         0.82%     982.099ms         5.97%        7.140s     366.109us       0.000us         0.00%       1.446ms       0.074us       2.12 Kb         -10 b     278.00 Kb       7.50 Kb         19501            --  
                                              aten::div         0.06%      70.869ms         0.09%     104.981ms     155.297us      10.000us         0.00%      12.000us       0.018us           0 b           0 b       4.50 Kb       4.50 Kb           676            --  
                                          ProfilerStep*         0.00%     238.000us       100.00%      119.687s       11.969s       0.000us         0.00%        2.688s     268.808ms           0 b           0 b       4.07 Mb           0 b            10            --  
                                        training_step_2         0.00%     464.000us        10.51%       12.583s       12.583s       0.000us         0.00%      20.118ms      20.118ms           0 b           0 b     312.00 Kb           0 b             1            --  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.00%       1.169ms         0.00%       1.853ms     185.300us       0.000us         0.00%       0.000us       0.000us      15.88 Kb        -832 b           0 b           0 b            10            --  
                                             aten::full         0.03%      37.563ms         0.05%      56.551ms     125.949us       0.000us         0.00%      19.000us       0.042us      15.88 Kb       2.84 Kb      32.50 Kb           0 b           449            --  
                                            aten::fill_         0.20%     242.201ms         0.32%     383.661ms       9.568us        2.077s         3.12%        2.117s      52.797us       2.29 Kb       2.29 Kb           0 b           0 b         40098            --  
                                           aten::select         0.01%       6.136ms         0.01%       9.072ms       6.155us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1474            --  
                                       aten::as_strided         0.18%     214.877ms         0.18%     215.792ms       3.553us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         60738            --  
                                            aten::slice         0.11%     130.367ms         0.19%     223.433ms      12.501us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         17873            --  
                                            aten::copy_         0.08%      98.467ms         0.14%     163.355ms       4.761us       6.524ms         0.01%      10.141ms       0.296us      -9.36 Kb      -9.36 Kb           0 b           0 b         34310            --  
                                        cudaMemcpyAsync         0.05%      60.076ms         0.05%      60.076ms      13.576us       3.775ms         0.01%       3.775ms       0.853us           0 b           0 b           0 b           0 b          4425            --  
