step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
153,5.70703125,5.69140625,1.56250000e-02,-52.71875000,-54.68750000,1.96875000e+00
154,4.77343750,4.75781250,1.56250000e-02,-87.87500000,-82.00000000,5.87500000e+00
155,4.76562500,4.76171875,3.90625000e-03,-169.87500000,-166.00000000,3.87500000e+00
156,5.85937500,5.84375000,1.56250000e-02,78.12500000,78.12500000,0.00000000e+00
157,7.74218750,7.74218750,0.00000000e+00,105.43750000,113.25000000,7.81250000e+00
158,5.75000000,5.75781250,7.81250000e-03,-164.00000000,-162.12500000,1.87500000e+00
159,6.64062500,6.64062500,0.00000000e+00,-31.25000000,-35.15625000,3.90625000e+00
160,8.04687500,8.02343750,2.34375000e-02,101.56250000,95.68750000,5.87500000e+00
161,5.85937500,5.85156250,7.81250000e-03,136.75000000,144.50000000,7.75000000e+00
162,6.56250000,6.53515625,2.73437500e-02,-31.25000000,-33.18750000,1.93750000e+00
163,7.16406250,7.16406250,0.00000000e+00,132.75000000,140.62500000,7.87500000e+00
164,7.07031250,7.05468750,1.56250000e-02,392.50000000,394.50000000,2.00000000e+00
165,7.51562500,7.52343750,7.81250000e-03,-119.12500000,-121.06250000,1.93750000e+00
166,4.86718750,4.85156250,1.56250000e-02,-382.75000000,-384.75000000,2.00000000e+00
167,4.53906250,4.52343750,1.56250000e-02,-228.50000000,-232.37500000,3.87500000e+00
168,5.88671875,5.87890625,7.81250000e-03,-130.87500000,-126.93750000,3.93750000e+00
169,6.26171875,6.26562500,3.90625000e-03,-103.50000000,-101.56250000,1.93750000e+00
170,5.19140625,5.17578125,1.56250000e-02,99.62500000,107.43750000,7.81250000e+00
171,4.07812500,4.06250000,1.56250000e-02,-105.43750000,-109.37500000,3.93750000e+00
172,6.26562500,6.28125000,1.56250000e-02,80.06250000,74.18750000,5.87500000e+00
173,6.45312500,6.43750000,1.56250000e-02,248.00000000,250.00000000,2.00000000e+00
174,6.54687500,6.53906250,7.81250000e-03,-60.53125000,-60.53125000,0.00000000e+00
175,5.74218750,5.72265625,1.95312500e-02,-203.12500000,-201.12500000,2.00000000e+00
176,9.54687500,9.54687500,0.00000000e+00,-54.68750000,-46.87500000,7.81250000e+00
177,8.25000000,8.26562500,1.56250000e-02,210.87500000,214.87500000,4.00000000e+00
178,4.68359375,4.67578125,7.81250000e-03,13.67187500,19.53125000,5.85937500e+00
179,4.61718750,4.60156250,1.56250000e-02,5.85937500,3.90625000,1.95312500e+00
180,4.93750000,4.91796875,1.95312500e-02,-128.87500000,-128.87500000,0.00000000e+00
181,6.60156250,6.59765625,3.90625000e-03,85.93750000,91.81250000,5.87500000e+00
182,8.15625000,8.14843750,7.81250000e-03,89.81250000,85.93750000,3.87500000e+00
183,6.75390625,6.73437500,1.95312500e-02,1.95312500,-3.90625000,5.85937500e+00
184,7.42968750,7.44531250,1.56250000e-02,101.56250000,105.43750000,3.87500000e+00
185,5.96484375,5.94531250,1.95312500e-02,220.75000000,226.50000000,5.75000000e+00
186,7.64843750,7.64843750,0.00000000e+00,62.50000000,58.59375000,3.90625000e+00
187,5.78125000,5.75781250,2.34375000e-02,175.75000000,168.00000000,7.75000000e+00
188,7.91015625,7.92578125,1.56250000e-02,41.00000000,41.00000000,0.00000000e+00
189,6.74218750,6.74218750,0.00000000e+00,-207.00000000,-207.00000000,0.00000000e+00
190,7.64453125,7.66015625,1.56250000e-02,189.50000000,193.37500000,3.87500000e+00
191,4.79687500,4.76953125,2.73437500e-02,-121.06250000,-119.12500000,1.93750000e+00
192,6.81640625,6.81640625,0.00000000e+00,76.18750000,74.18750000,2.00000000e+00
193,5.71093750,5.71875000,7.81250000e-03,-171.87500000,-171.87500000,0.00000000e+00
194,5.89843750,5.88281250,1.56250000e-02,70.31250000,66.37500000,3.93750000e+00
195,6.03125000,6.03125000,0.00000000e+00,123.06250000,125.00000000,1.93750000e+00
196,6.96875000,6.96875000,0.00000000e+00,-334.00000000,-336.00000000,2.00000000e+00
197,7.35156250,7.32812500,2.34375000e-02,-80.06250000,-89.81250000,9.75000000e+00
198,5.46875000,5.46875000,0.00000000e+00,-343.75000000,-343.75000000,0.00000000e+00
199,7.37500000,7.35156250,2.34375000e-02,50.78125000,44.90625000,5.87500000e+00
200,5.06250000,5.05859375,3.90625000e-03,-107.43750000,-101.56250000,5.87500000e+00
201,5.26953125,5.24218750,2.73437500e-02,93.75000000,85.93750000,7.81250000e+00
202,6.33984375,6.32812500,1.17187500e-02,177.75000000,175.75000000,2.00000000e+00
203,5.64453125,5.62500000,1.95312500e-02,21.48437500,23.43750000,1.95312500e+00
204,4.82812500,4.81640625,1.17187500e-02,41.00000000,44.90625000,3.90625000e+00
205,4.80078125,4.78906250,1.17187500e-02,-76.18750000,-74.18750000,2.00000000e+00
206,5.50000000,5.48437500,1.56250000e-02,-128.87500000,-130.87500000,2.00000000e+00
207,7.36718750,7.35937500,7.81250000e-03,-95.68750000,-93.75000000,1.93750000e+00
208,5.89843750,5.89843750,0.00000000e+00,39.06250000,35.15625000,3.90625000e+00
209,6.63281250,6.63281250,0.00000000e+00,70.31250000,70.31250000,0.00000000e+00
210,8.00781250,7.99218750,1.56250000e-02,123.06250000,121.06250000,2.00000000e+00
211,5.59765625,5.58593750,1.17187500e-02,-91.81250000,-87.87500000,3.93750000e+00
212,6.55468750,6.53515625,1.95312500e-02,11.71875000,9.76562500,1.95312500e+00
213,6.79687500,6.78125000,1.56250000e-02,-175.75000000,-177.75000000,2.00000000e+00
214,6.48046875,6.46093750,1.95312500e-02,-152.37500000,-156.25000000,3.87500000e+00
215,7.93750000,7.94531250,7.81250000e-03,293.00000000,293.00000000,0.00000000e+00
216,5.05468750,5.04687500,7.81250000e-03,-152.37500000,-150.37500000,2.00000000e+00
217,4.81640625,4.81250000,3.90625000e-03,99.62500000,99.62500000,0.00000000e+00
218,5.92187500,5.90625000,1.56250000e-02,-42.96875000,-42.96875000,0.00000000e+00
219,6.31250000,6.31640625,3.90625000e-03,-58.59375000,-56.62500000,1.96875000e+00
220,5.01953125,5.00390625,1.56250000e-02,11.71875000,9.76562500,1.95312500e+00
221,4.20703125,4.20312500,3.90625000e-03,66.37500000,66.37500000,0.00000000e+00
222,5.93750000,5.94531250,7.81250000e-03,-97.62500000,-103.50000000,5.87500000e+00
223,5.96484375,5.95703125,7.81250000e-03,-216.75000000,-212.87500000,3.87500000e+00
224,6.64062500,6.64843750,7.81250000e-03,62.50000000,72.25000000,9.75000000e+00
225,5.68750000,5.67187500,1.56250000e-02,-304.75000000,-302.75000000,2.00000000e+00
226,9.57812500,9.56250000,1.56250000e-02,179.62500000,171.87500000,7.75000000e+00
227,7.72656250,7.74609375,1.95312500e-02,-101.56250000,-99.62500000,1.93750000e+00
228,4.60937500,4.60937500,0.00000000e+00,-58.59375000,-50.78125000,7.81250000e+00
229,4.46093750,4.44531250,1.56250000e-02,-160.12500000,-164.00000000,3.87500000e+00
230,4.85937500,4.85156250,7.81250000e-03,-183.62500000,-183.62500000,0.00000000e+00
231,6.30468750,6.28906250,1.56250000e-02,-39.06250000,-42.96875000,3.90625000e+00
232,8.14062500,8.13281250,7.81250000e-03,50.78125000,46.87500000,3.90625000e+00
233,6.78125000,6.77343750,7.81250000e-03,121.06250000,128.87500000,7.81250000e+00
234,7.49609375,7.48437500,1.17187500e-02,216.75000000,214.87500000,1.87500000e+00
235,5.88281250,5.85937500,2.34375000e-02,218.75000000,218.75000000,0.00000000e+00
236,7.10937500,7.10937500,0.00000000e+00,-441.50000000,-445.25000000,3.75000000e+00
237,5.19531250,5.18359375,1.17187500e-02,-308.50000000,-302.75000000,5.75000000e+00
238,8.06250000,8.06250000,0.00000000e+00,205.12500000,195.25000000,9.87500000e+00
239,6.81250000,6.81250000,0.00000000e+00,0.00000000,0.00000000,0.00000000e+00
