================================================================================
DiZO PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us       9.318ms         0.46%       9.318ms      46.129us           0 b           0 b           0 b           0 b           202            --  
                                       aten::layer_norm         0.14%       1.680ms         1.53%      18.041ms      27.755us       0.000us         0.00%       5.095ms       7.838us           0 b           0 b     394.21 Mb    -468.00 Kb           650            --  
                                aten::native_layer_norm         0.74%       8.725ms         1.38%      16.361ms      25.171us       5.095ms         0.25%       5.095ms       7.838us           0 b           0 b     394.67 Mb     -26.50 Kb           650            --  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       5.095ms         0.25%       5.095ms       7.838us           0 b           0 b           0 b           0 b           650            --  
                                            aten::copy_         0.91%      10.758ms        12.84%     151.802ms      73.334us       5.092ms         0.25%       5.092ms       2.460us          -8 b          -8 b           0 b           0 b          2070            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us       4.860ms         0.24%       4.860ms      37.969us           0 b           0 b           0 b           0 b           128            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.226ms         0.21%       4.226ms       3.251us           0 b           0 b           0 b           0 b          1300            --  
                                            aten::clone         0.39%       4.579ms         2.16%      25.529ms      19.195us       0.000us         0.00%       3.897ms       2.930us           0 b           0 b     847.97 Mb     -69.34 Mb          1330            --  
                                       aten::contiguous         0.23%       2.700ms         1.52%      17.982ms      18.349us       0.000us         0.00%       2.737ms       2.793us           0 b           0 b     653.89 Mb      87.82 Mb           980            --  
                                              aten::bmm         0.87%      10.232ms         2.15%      25.411ms      39.705us       2.044ms         0.10%       2.044ms       3.194us           0 b           0 b     226.22 Mb     226.22 Mb           640         8.644  
                                          aten::maximum         0.22%       2.562ms         0.34%       3.999ms      12.497us       1.281ms         0.06%       1.281ms       4.003us           0 b           0 b      32.22 Mb      32.22 Mb           320            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.281ms         0.06%       1.281ms       4.003us           0 b           0 b           0 b           0 b           320            --  
                                           aten::matmul         0.01%     120.000us         0.07%     811.000us      81.100us       0.000us         0.00%       1.237ms     123.700us           0 b           0 b      74.88 Mb           0 b            10            --  
                                               aten::mm         0.04%     462.000us         0.06%     674.000us      67.400us       1.237ms         0.06%       1.237ms     123.700us           0 b           0 b      74.88 Mb      74.88 Mb            10       319.579  
                                              aten::max         0.05%     583.000us         0.37%       4.348ms      13.588us       0.000us         0.00%       1.205ms       3.766us           0 b           0 b      32.22 Mb       1.52 Mb           320            --  
