================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::normal_         0.06%      39.132ms         0.10%      63.322ms       8.156us      35.313ms         0.11%      37.799ms       4.868us           0 b           0 b           0 b           0 b          7764            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      35.313ms         0.11%      35.313ms       4.548us           0 b           0 b           0 b           0 b          7764            --  
                                           aten::normal         0.04%      22.682ms         0.16%     106.531ms      13.728us       0.000us         0.00%      35.006ms       4.511us           0 b           0 b      12.36 Gb           0 b          7760            --  
                                              aten::mul         0.55%     357.617ms         0.86%     554.666ms      34.024us      26.630ms         0.08%      28.766ms       1.765us     -24.19 Kb     -23.02 Kb      21.66 Gb      21.66 Gb         16302        11.942  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.625ms         0.08%      26.625ms       1.961us           0 b           0 b           0 b           0 b         13580            --  
                                               aten::mm         0.69%     446.182ms         1.95%        1.262s     224.517us      22.058ms         0.07%      26.211ms       4.663us           0 b           0 b     207.39 Mb     207.39 Mb          5621      2738.485  
                                        training_step_2         0.00%     505.000us        19.95%       12.902s       12.902s       0.000us         0.00%      24.193ms      24.193ms           0 b           0 b       6.99 Mb           0 b             1            --  
                                       zo_perturb_-2eps         0.07%      42.865ms         0.18%     118.972ms      23.794ms       0.000us         0.00%      22.720ms       4.544ms           0 b       6.55 Kb       1.85 Mb     -11.80 Gb             5            --  
                                        training_step_3         0.00%     651.000us        20.13%       13.018s       13.018s       0.000us         0.00%      22.694ms      22.694ms           0 b           0 b       1.38 Mb           0 b             1            --  
                                        zo_perturb_+eps         0.06%      41.992ms         0.19%     123.813ms      24.763ms       0.000us         0.00%      22.520ms       4.504ms           0 b       6.78 Kb     606.50 Kb     -11.65 Gb             5            --  
