================================================================================
DiZO PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::_log_softmax         0.00%     259.000us         0.00%     436.000us      21.800us     238.000us         0.00%     238.000us      11.900us           0 b           0 b     190.09 Mb     190.09 Mb            20            --  
                                               aten::mm         0.53%     924.531ms         1.61%        2.812s     302.024us      60.144ms         0.06%      87.881ms       9.438us           0 b           0 b      82.80 Mb      82.80 Mb          9311     26923.243  
                                       aten::contiguous         0.23%     406.779ms         0.67%        1.168s     192.819us       0.000us         0.00%       7.565ms       1.249us           0 b           0 b     947.91 Mb      68.49 Mb          6057            --  
                                       aten::empty_like         0.03%      47.779ms         0.06%     111.160ms       6.464us       0.000us         0.00%       0.000us       0.000us     197.00 Kb      55.12 Kb       1.27 Gb      49.20 Mb         17198            --  
                                        aten::new_empty         0.04%      76.806ms         0.13%     231.156ms      13.121us       0.000us         0.00%       0.000us       0.000us         136 b          98 b       1.01 Gb      45.92 Mb         17617            --  
                                      aten::log_softmax         0.00%     125.000us         0.00%     550.000us      27.500us       0.000us         0.00%     227.000us      11.350us           0 b           0 b     190.09 Mb       7.10 Mb            20            --  
                                               aten::eq         0.01%      13.378ms         0.01%      20.208ms      22.404us     983.000us         0.00%       1.059ms       1.174us           0 b           0 b     667.00 Kb     667.00 Kb           902            --  
                                              aten::all         0.01%      13.561ms         0.02%      30.233ms      27.994us     625.000us         0.00%     932.000us       0.863us        -102 b        -102 b     441.00 Kb     441.00 Kb          1080            --  
                                          aten::resize_         0.00%       1.207ms         0.00%       1.207ms       4.752us       0.000us         0.00%       0.000us       0.000us     612.94 Kb     612.94 Kb     139.00 Kb     139.00 Kb           254            --  
                                 aten::nll_loss_forward         0.00%     312.000us         0.00%     453.000us      22.650us      48.000us         0.00%      51.000us       2.550us           0 b           0 b      20.00 Kb      20.00 Kb            20            --  
                                               aten::to         0.74%        1.286s         5.47%        9.558s     355.757us       0.000us         0.00%     132.000us       0.005us      14.08 Kb       1.96 Kb     355.50 Kb      19.50 Kb         26868            --  
                                           aten::cumsum         0.00%       8.503ms         0.01%      20.596ms     326.921us      17.000us         0.00%      17.000us       0.270us           0 b           0 b       9.00 Kb       9.00 Kb            63            --  
                                               aten::lt         0.01%      11.879ms         0.02%      27.763ms     440.683us      17.000us         0.00%      17.000us       0.270us           0 b           0 b       8.50 Kb       8.50 Kb            63            --  
                                              aten::div         0.05%      94.094ms         0.08%     139.137ms     155.983us      10.000us         0.00%      10.000us       0.011us           0 b           0 b       5.00 Kb       5.00 Kb           892            --  
                                          ProfilerStep*         0.00%     265.000us       100.00%      174.815s       17.482s       0.000us         0.00%       10.918s        1.092s           0 b           0 b       3.88 Mb           0 b            10            --  
                                        training_step_2         0.00%     486.000us        11.05%       19.323s       19.323s       0.000us         0.00%     949.568ms     949.568ms           0 b           0 b       1.53 Mb           0 b             1            --  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.00%       1.244ms         0.00%       2.025ms     202.500us       0.000us         0.00%       0.000us       0.000us      15.88 Kb           0 b           0 b           0 b            10            --  
                                             aten::full         0.02%      41.976ms         0.04%      61.485ms     118.013us       0.000us         0.00%       9.000us       0.017us      15.88 Kb       3.56 Kb      32.50 Kb           0 b           521            --  
                                            aten::fill_         0.30%     520.437ms         0.50%     878.802ms       7.524us        7.531s         6.99%        7.620s      65.242us         488 b         488 b           0 b           0 b        116803            --  
                                           aten::select         0.00%       7.832ms         0.01%      11.499ms       6.526us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1762            --  
                                       aten::as_strided         0.16%     273.593ms         0.16%     274.475ms       2.621us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        104704            --  
                                            aten::slice         0.08%     143.800ms         0.14%     243.906ms      11.444us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         21313            --  
                                            aten::copy_         0.10%     175.410ms         0.19%     331.940ms       5.519us      37.329ms         0.03%      50.869ms       0.846us      99.39 Kb      99.32 Kb           0 b           0 b         60144            --  
                                         aten::_to_copy         0.70%        1.231s         4.74%        8.285s     324.020us       0.000us         0.00%     132.000us       0.005us      14.05 Kb       1.75 Kb     357.00 Kb           0 b         25568            --  
