step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
144,5.38281250,5.40625000,2.34375000e-02,232.37500000,246.12500000,1.37500000e+01
145,6.64843750,6.65625000,7.81250000e-03,191.37500000,195.25000000,3.87500000e+00
146,7.71093750,7.72265625,1.17187500e-02,275.50000000,277.25000000,1.75000000e+00
147,7.19531250,7.19531250,0.00000000e+00,142.62500000,142.62500000,0.00000000e+00
148,5.93359375,5.92968750,3.90625000e-03,72.25000000,74.18750000,1.93750000e+00
149,7.02343750,7.01953125,3.90625000e-03,-171.87500000,-169.87500000,2.00000000e+00
150,4.39843750,4.38671875,1.17187500e-02,-11.71875000,-15.62500000,3.90625000e+00
151,5.48828125,5.48437500,3.90625000e-03,154.25000000,156.25000000,2.00000000e+00
152,6.78515625,6.79296875,7.81250000e-03,400.50000000,404.25000000,3.75000000e+00
153,5.00781250,5.00000000,7.81250000e-03,-58.59375000,-60.53125000,1.93750000e+00
154,4.71093750,4.72265625,1.17187500e-02,82.00000000,84.00000000,2.00000000e+00
155,4.96093750,4.97265625,1.17187500e-02,132.75000000,142.62500000,9.87500000e+00
156,5.56250000,5.57031250,7.81250000e-03,-263.75000000,-244.12500000,1.96250000e+01
157,7.87890625,7.88281250,3.90625000e-03,-84.00000000,-78.12500000,5.87500000e+00
158,5.94531250,5.93750000,7.81250000e-03,-253.87500000,-255.87500000,2.00000000e+00
159,6.74218750,6.75000000,7.81250000e-03,-105.43750000,-97.62500000,7.81250000e+00
160,7.49609375,7.49609375,0.00000000e+00,-60.53125000,-60.53125000,0.00000000e+00
161,4.77343750,4.78906250,1.56250000e-02,-652.50000000,-648.50000000,4.00000000e+00
162,6.65625000,6.66406250,7.81250000e-03,252.00000000,248.00000000,4.00000000e+00
163,7.07031250,7.07812500,7.81250000e-03,7.81250000,15.62500000,7.81250000e+00
164,6.45312500,6.43750000,1.56250000e-02,-273.50000000,-283.25000000,9.75000000e+00
165,7.77343750,7.77343750,0.00000000e+00,230.50000000,230.50000000,0.00000000e+00
166,4.86718750,4.85937500,7.81250000e-03,128.87500000,125.00000000,3.87500000e+00
167,4.31250000,4.32031250,7.81250000e-03,-296.75000000,-296.75000000,0.00000000e+00
168,6.59765625,6.60156250,3.90625000e-03,367.25000000,375.00000000,7.75000000e+00
169,6.67578125,6.67187500,3.90625000e-03,-250.00000000,-250.00000000,0.00000000e+00
170,5.73046875,5.74218750,1.17187500e-02,676.00000000,683.50000000,7.50000000e+00
171,4.58984375,4.59375000,3.90625000e-03,379.00000000,382.75000000,3.75000000e+00
172,6.40625000,6.40625000,0.00000000e+00,-552.50000000,-547.00000000,5.50000000e+00
173,6.85937500,6.85937500,0.00000000e+00,425.75000000,425.75000000,0.00000000e+00
174,6.05468750,6.05468750,0.00000000e+00,-146.50000000,-148.37500000,1.87500000e+00
175,5.64453125,5.66015625,1.56250000e-02,44.90625000,48.81250000,3.90625000e+00
176,9.56250000,9.54687500,1.56250000e-02,-23.43750000,-31.25000000,7.81250000e+00
177,7.73437500,7.74218750,7.81250000e-03,160.12500000,169.87500000,9.75000000e+00
178,4.61328125,4.60937500,3.90625000e-03,-359.25000000,-355.50000000,3.75000000e+00
179,4.50000000,4.50781250,7.81250000e-03,455.00000000,463.00000000,8.00000000e+00
180,5.12109375,5.13671875,1.56250000e-02,-236.37500000,-230.50000000,5.87500000e+00
181,5.48046875,5.48046875,0.00000000e+00,-128.87500000,-130.87500000,2.00000000e+00
182,7.29687500,7.29687500,0.00000000e+00,210.87500000,216.75000000,5.87500000e+00
183,6.94531250,6.95312500,7.81250000e-03,-33.18750000,-31.25000000,1.93750000e+00
184,6.59375000,6.59375000,0.00000000e+00,-212.87500000,-205.12500000,7.75000000e+00
185,6.27343750,6.28515625,1.17187500e-02,373.00000000,380.75000000,7.75000000e+00
186,6.45703125,6.44921875,7.81250000e-03,-25.39062500,-27.34375000,1.95312500e+00
187,5.02734375,5.03906250,1.17187500e-02,-205.12500000,-203.12500000,2.00000000e+00
188,7.81250000,7.81250000,0.00000000e+00,74.18750000,78.12500000,3.93750000e+00
189,6.15625000,6.13281250,2.34375000e-02,-150.37500000,-164.00000000,1.36250000e+01
190,7.85546875,7.83593750,1.95312500e-02,95.68750000,93.75000000,1.93750000e+00
191,5.01171875,5.02343750,1.17187500e-02,62.50000000,58.59375000,3.90625000e+00
192,6.39062500,6.39062500,0.00000000e+00,347.75000000,339.75000000,8.00000000e+00
193,6.28125000,6.28906250,7.81250000e-03,58.59375000,58.59375000,0.00000000e+00
194,5.14843750,5.17578125,2.73437500e-02,11.71875000,29.29687500,1.75781250e+01
195,6.11328125,6.11328125,0.00000000e+00,-386.75000000,-396.50000000,9.75000000e+00
196,7.58593750,7.59765625,1.17187500e-02,435.50000000,435.50000000,0.00000000e+00
197,7.07031250,7.07031250,0.00000000e+00,103.50000000,101.56250000,1.93750000e+00
198,5.46875000,5.47656250,7.81250000e-03,-236.37500000,-230.50000000,5.87500000e+00
199,6.94531250,6.93750000,7.81250000e-03,-62.50000000,-70.31250000,7.81250000e+00
200,4.15625000,4.15625000,0.00000000e+00,-56.62500000,-54.68750000,1.93750000e+00
201,5.06250000,5.05859375,3.90625000e-03,-283.25000000,-291.00000000,7.75000000e+00
202,6.46484375,6.48437500,1.95312500e-02,314.50000000,326.25000000,1.17500000e+01
203,5.07812500,5.07421875,3.90625000e-03,193.37500000,191.37500000,2.00000000e+00
204,4.70312500,4.68750000,1.56250000e-02,166.00000000,156.25000000,9.75000000e+00
205,4.60937500,4.60937500,0.00000000e+00,25.39062500,19.53125000,5.85937500e+00
206,5.87109375,5.87500000,3.90625000e-03,306.75000000,306.75000000,0.00000000e+00
207,7.85156250,7.84765625,3.90625000e-03,-7.81250000,-17.57812500,9.76562500e+00
208,6.24609375,6.26562500,1.95312500e-02,209.00000000,218.75000000,9.75000000e+00
209,6.63281250,6.61718750,1.56250000e-02,-179.62500000,-183.62500000,4.00000000e+00
210,8.21875000,8.22656250,7.81250000e-03,308.50000000,300.75000000,7.75000000e+00
211,5.50781250,5.52343750,1.56250000e-02,222.62500000,226.50000000,3.87500000e+00
212,6.15234375,6.17187500,1.95312500e-02,76.18750000,82.00000000,5.81250000e+00
213,6.77343750,6.77734375,3.90625000e-03,-144.50000000,-148.37500000,3.87500000e+00
214,6.95312500,6.96875000,1.56250000e-02,425.75000000,429.75000000,4.00000000e+00
215,7.45312500,7.44921875,3.90625000e-03,29.29687500,29.29687500,0.00000000e+00
216,4.56250000,4.55859375,3.90625000e-03,70.31250000,68.37500000,1.93750000e+00
217,4.38671875,4.38671875,0.00000000e+00,-60.53125000,-68.37500000,7.84375000e+00
218,6.03125000,6.04687500,1.56250000e-02,27.34375000,31.25000000,3.90625000e+00
219,6.57812500,6.59375000,1.56250000e-02,-115.25000000,-105.43750000,9.81250000e+00
220,5.20703125,5.21875000,1.17187500e-02,-142.62500000,-132.75000000,9.87500000e+00
221,4.24218750,4.23828125,3.90625000e-03,153.37500000,151.37500000,2.00000000e+00
222,6.46093750,6.46484375,3.90625000e-03,-367.25000000,-369.25000000,2.00000000e+00
223,6.34765625,6.37500000,2.73437500e-02,177.75000000,191.37500000,1.36250000e+01
224,5.96875000,5.95703125,1.17187500e-02,-253.87500000,-263.75000000,9.87500000e+00
225,5.66015625,5.66015625,0.00000000e+00,158.25000000,154.25000000,4.00000000e+00
226,9.40625000,9.39062500,1.56250000e-02,70.31250000,62.50000000,7.81250000e+00
227,7.28125000,7.29687500,1.56250000e-02,-175.75000000,-173.87500000,1.87500000e+00
228,4.96093750,4.96093750,0.00000000e+00,179.62500000,168.00000000,1.16250000e+01
229,3.67968750,3.67187500,7.81250000e-03,-228.50000000,-228.50000000,0.00000000e+00
230,5.19531250,5.17578125,1.95312500e-02,-35.15625000,-35.15625000,0.00000000e+00
231,5.76562500,5.78125000,1.56250000e-02,207.00000000,205.12500000,1.87500000e+00
232,7.14062500,7.15234375,1.17187500e-02,35.15625000,42.96875000,7.81250000e+00
