================================================================================
DiZO PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us      16.713ms         0.04%      16.713ms      51.904us           0 b           0 b           0 b           0 b           322            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us      16.057ms         0.04%      16.057ms      60.822us           0 b           0 b           0 b           0 b           264            --  
          OutputGraph.call_user_compiler (dynamo_timed)         2.24%        1.927s        89.11%       76.674s       15.335s       0.000us         0.00%      12.417ms       2.483ms           0 b           0 b      48.00 Kb     -48.00 Kb             5            --  
          create_aot_dispatcher_function (dynamo_timed)         5.93%        5.099s        86.87%       74.747s       14.949s       0.000us         0.00%      12.417ms       2.483ms           0 b     -25.97 Kb      96.00 Kb    -165.50 Kb             5            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         5.31%        4.566s        60.05%       51.670s       10.334s       0.000us         0.00%      11.725ms       2.345ms           0 b         152 b     -67.50 Kb      -1.34 Mb             5            --  
                                   cudaFuncSetAttribute         0.00%      62.000us         0.00%      62.000us       0.011us      11.583ms         0.03%      11.583ms       2.003us           0 b           0 b           0 b           0 b          5784            --  
                                    cudaLaunchKernelExC         0.01%       7.036ms         0.01%       7.036ms       3.646us       4.951ms         0.01%       8.151ms       4.223us           0 b           0 b           0 b           0 b          1930            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us       6.745ms         0.02%       6.745ms      26.348us           0 b           0 b           0 b           0 b           256            --  
                                              aten::bmm         0.52%     449.610ms         1.30%        1.119s     346.314us       3.048ms         0.01%       6.692ms       2.072us           0 b           0 b      -2.00 Kb           0 b          3230       116.361  
                                         cuLaunchKernel         0.01%       6.966ms         0.01%       6.966ms       2.711us       6.395ms         0.01%       6.395ms       2.488us           0 b           0 b           0 b           0 b          2570            --  
                              aten::_local_scalar_dense         0.01%      11.839ms         0.28%     241.413ms     217.489us       2.120ms         0.00%       5.992ms       5.398us           0 b           0 b           0 b           0 b          1110            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 86.042s
Self CUDA time total: 44.187s


--- Memory Usage ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         0.56%     479.285ms         0.88%     761.055ms      35.104us     304.620ms         0.69%     325.438ms      15.011us     -30.16 Kb     -28.66 Kb     434.08 Gb     434.08 Gb         21680       234.918  
                                            aten::empty         0.14%     121.028ms         0.14%     122.668ms       3.824us       0.000us         0.00%       0.000us       0.000us     119.00 Kb     119.00 Kb     248.16 Gb     248.16 Gb         32080            --  
                                              aten::add         1.12%     963.064ms         1.59%        1.372s      92.142us     155.543ms         0.35%     164.939ms      11.077us      -5.59 Kb        -688 b     186.04 Gb     186.04 Gb         14890       103.119  
                                              aten::sub         0.23%     199.779ms         0.42%     359.551ms      80.617us      52.249ms         0.12%      52.356ms      11.739us        -504 b        -248 b      62.01 Gb      62.01 Gb          4460            --  
                                  Torch-Compiled Region         0.07%      56.000ms         0.16%     135.946ms      13.595ms       0.000us         0.00%     107.155ms      10.716ms           0 b           0 b     764.21 Mb     764.21 Mb            10            --  
