================================================================================
DiZO PROFILING SUMMARY - facebook/opt-13b
================================================================================

Model: facebook/opt-13b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::native_layer_norm         0.56%      11.341ms         1.20%      24.424ms      30.153us       7.488ms         0.21%       7.488ms       9.244us           0 b           0 b     635.35 Mb     -37.00 Kb           810            --  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       7.488ms         0.21%       7.488ms       9.244us           0 b           0 b           0 b           0 b           810            --  
                                            aten::copy_         0.68%      13.882ms        16.39%     333.700ms     130.863us       6.518ms         0.18%       6.518ms       2.556us         -16 b         -16 b           0 b           0 b          2550            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.316ms         0.15%       5.316ms       3.281us           0 b           0 b           0 b           0 b          1620            --  
                                            aten::clone         0.26%       5.345ms         1.47%      29.837ms      18.083us       0.000us         0.00%       4.892ms       2.965us           0 b           0 b       1.26 Gb    -160.77 Mb          1650            --  
                                       aten::contiguous         0.17%       3.492ms         1.12%      22.865ms      18.742us       0.000us         0.00%       3.344ms       2.741us           0 b           0 b     985.38 Mb     153.23 Mb          1220            --  
                                              aten::bmm         0.64%      12.988ms         3.73%      76.000ms      95.000us       2.721ms         0.07%       2.721ms       3.401us           0 b           0 b     353.95 Mb     353.95 Mb           800        13.507  
                                          aten::maximum         0.16%       3.325ms         0.26%       5.220ms      13.050us       1.605ms         0.04%       1.605ms       4.013us           0 b           0 b      50.35 Mb      50.35 Mb           400            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.605ms         0.04%       1.605ms       4.013us           0 b           0 b           0 b           0 b           400            --  
                                              aten::max         0.05%     927.000us         0.28%       5.737ms      14.342us       0.000us         0.00%       1.501ms       3.752us           0 b           0 b      50.35 Mb       3.28 Mb           400            --  
