================================================================================
BASELINE ADAMW PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Max Length: 512
Steps: 5
Dtype: float16
torch.compile: True

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CompiledFunctio...         0.10%       2.454ms         5.09%     130.747ms       1.006ms       0.000us         0.00%      35.381ms     272.162us           0 b           0 b       5.38 Gb    -161.29 Mb           130            --  
                               CompiledFunctionBackward         2.42%      62.256ms         4.99%     128.293ms     986.869us       0.000us         0.00%      35.381ms     272.162us           0 b           0 b       5.54 Gb       5.44 Gb           130            --  
                                       CompiledFunction         1.91%      48.948ms         3.76%      96.555ms     742.731us       0.000us         0.00%      20.473ms     157.485us           0 b           0 b     791.10 Mb     791.10 Mb           130            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us      16.661ms         0.52%      16.661ms       3.332ms           0 b           0 b           0 b           0 b             5            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       8.387ms         0.26%       8.387ms      82.225us           0 b           0 b           0 b           0 b           102            --  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us       7.937ms         0.25%       7.937ms      40.703us           0 b           0 b           0 b           0 b           195            --  
                                    aten::_foreach_mul_         0.13%       3.308ms         0.15%       3.972ms     397.200us       7.522ms         0.24%       7.522ms     752.200us           0 b           0 b           0 b           0 b            10            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       7.522ms         0.24%       7.522ms      44.247us           0 b           0 b           0 b           0 b           170            --  
                                aten::_foreach_addcdiv_         0.07%       1.925ms         0.09%       2.213ms     442.600us       6.970ms         0.22%       6.970ms       1.394ms           0 b           0 b           0 b           0 b             5            --  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us       6.821ms         0.21%       6.821ms      12.797us           0 b           0 b           0 b           0 b           533            --  
                                        triton__0d1d2de         0.00%       0.000us         0.00%       0.000us       0.000us       6.208ms         0.20%       6.208ms       0.982us           0 b           0 b           0 b           0 b          6323            --  
void cutlass::Kernel<cutlass_80_simt_sgemm_256x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us       5.371ms         0.17%       5.371ms      43.315us           0 b           0 b           0 b           0 b           124            --  
                                aten::_foreach_addcmul_         0.06%       1.653ms         0.08%       1.929ms     385.800us       5.259ms         0.17%       5.259ms       1.052ms           0 b           0 b           0 b           0 b             5            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       5.259ms         0.17%       5.259ms      61.871us           0 b           0 b           0 b           0 b            85            --  
                                   aten::_foreach_lerp_         0.01%     378.000us         0.03%     655.000us     131.000us       5.169ms         0.16%       5.169ms       1.034ms           0 b           0 b           0 b           0 b             5            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       5.169ms         0.16%       5.169ms      60.812us           0 b           0 b           0 b           0 b            85            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       5.098ms         0.16%       5.098ms      49.980us           0 b           0 b           0 b           0 b           102            --  
sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us       4.862ms         0.15%       4.862ms      12.596us           0 b           0 b           0 b           0 b           386            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       4.505ms         0.14%       4.505ms      44.167us           0 b           0 b           0 b           0 b           102            --  
                                            aten::addmm         0.09%       2.379ms         0.16%       4.193ms      34.942us       4.368ms         0.14%       4.368ms      36.400us           0 b           0 b           0 b           0 b           120  105495134208.000  
void cutlass::Kernel<cutlass_80_simt_sgemm_256x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us       4.329ms         0.14%       4.329ms      30.062us           0 b           0 b           0 b           0 b           144            --  
                                    aten::_foreach_div_         0.07%       1.708ms         0.08%       1.993ms     398.600us       4.227ms         0.13%       4.227ms     845.400us           0 b           0 b           0 b           0 b             5            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       4.132ms         0.13%       4.132ms      46.427us           0 b           0 b           0 b           0 b            89            --  
                                    aten::_foreach_sqrt         0.15%       3.841ms         0.51%      12.978ms       2.596ms       3.951ms         0.12%       3.951ms     790.200us           0 b           0 b       6.17 Gb           0 b             5            --  
sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us       3.864ms         0.12%       3.864ms      12.228us           0 b           0 b           0 b           0 b           316            --  
                                    aten::_foreach_add_         0.17%       4.350ms         0.18%       4.713ms     471.300us       3.758ms         0.12%       3.758ms     375.800us           0 b           0 b           0 b           0 b            10            --  
                                              aten::bmm         0.38%       9.688ms         0.55%      14.127ms      19.621us       3.037ms         0.10%       3.037ms       4.218us           0 b           0 b           0 b           0 b           720  5078384640.000  
                                       triton__0d1d2de3         0.00%       0.000us         0.00%       0.000us       0.000us       2.233ms         0.07%       2.233ms       3.101us           0 b           0 b           0 b           0 b           720            --  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us       2.080ms         0.07%       2.080ms       3.910us           0 b           0 b           0 b           0 b           532            --  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us       2.040ms         0.06%       2.040ms      28.333us           0 b           0 b           0 b           0 b            72            --  
                                 triton_red_fused_sum_2         0.14%       3.678ms         0.22%       5.534ms       9.223us       1.844ms         0.06%       1.844ms       3.073us           0 b           0 b           0 b           0 b           600            --  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.603ms         0.05%       1.603ms      21.959us           0 b           0 b           0 b           0 b            73            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.569s
Self CUDA time total: 3.182s


--- Memory Usage ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided         1.02%      26.129ms         1.26%      32.318ms       9.040us       0.000us         0.00%       0.000us       0.000us     777.82 Kb     777.82 Kb       6.17 Gb       6.17 Gb          3575            --  
                               CompiledFunctionBackward         2.42%      62.256ms         4.99%     128.293ms     986.869us       0.000us         0.00%      35.381ms     272.162us           0 b           0 b       5.54 Gb       5.44 Gb           130            --  
                                          backward_pass         6.07%     155.945ms         6.08%     156.112ms      31.222ms       0.000us         0.00%       2.000us       0.400us           0 b           0 b       5.40 Gb       5.40 Gb             5            --  
                                            aten::empty         0.41%      10.622ms         0.43%      11.022ms      10.398us       0.000us         0.00%       0.000us       0.000us      28.11 Kb      28.11 Kb       3.25 Gb       3.25 Gb          1060            --  
                                       CompiledFunction         1.91%      48.948ms         3.76%      96.555ms     742.731us       0.000us         0.00%      20.473ms     157.485us           0 b           0 b     791.10 Mb     791.10 Mb           130            --  
                                     EmbeddingBackward0         0.00%      66.000us         0.01%     259.000us      51.800us       0.000us         0.00%     150.000us      30.000us           0 b           0 b     490.94 Mb      98.19 Mb             5            --  
                       aten::_log_softmax_backward_data         0.00%      74.000us         0.00%     115.000us      23.000us     141.000us         0.00%     141.000us      28.200us           0 b           0 b      97.31 Mb      97.31 Mb             5            --  
                                aten::nll_loss_backward         0.01%     245.000us         0.03%     885.000us     177.000us      12.000us         0.00%      45.000us       9.000us           0 b           0 b      96.99 Mb      96.99 Mb             5            --  
                                     aten::_log_softmax         0.00%      86.000us         0.00%     124.000us      24.800us     120.000us         0.00%     120.000us      24.000us           0 b           0 b      96.65 Mb      96.65 Mb             5            --  
